materialSampleID,eventDate,samplingStation,waterSample,Latitude,Longitude
Sample-2,8/14/2022,SAB_TRANS_01,493859,45.989473,59.210587
Sample-3,8/14/2022,SAB_TRANS_01,493860,45.989473,59.210587
Sample-4,8/14/2022,SAB_TRANS_01,493861,45.989473,59.210587
Sample-5,8/14/2022,SAB_TRANS_01,493862,45.989473,59.210587
Sample-6,8/14/2022,SAB_TRANS_01,493863,45.989473,59.210587
Sample-7,8/14/2022,SAB_TRANS_01,493864,45.989473,59.210587
Sample-8,8/14/2022,SAB_TRANS_01,493865,45.989473,59.210587
Sample-9,8/14/2022,SAB_TRANS_02,493866,45.997298,59.206822
Sample-10,8/14/2022,SAB_TRANS_02,493867,45.997298,59.206822
Sample-11,8/14/2022,SAB_TRANS_02,493868,45.997298,59.206822
Sample-12,8/14/2022,SAB_TRANS_02,493869,45.997298,59.206822
Sample-13,8/14/2022,SAB_TRANS_02,493870,45.997298,59.206822
Sample-14,8/14/2022,SAB_TRANS_02,493871,45.997298,59.206822
Sample-15,8/14/2022,SAB_TRANS_03,493872,46.009493,59.198733
Sample-16,8/14/2022,SAB_TRANS_03,493873,46.009493,59.198733
Sample-17,8/14/2022,SAB_TRANS_03,493874,46.009493,59.198733
Sample-18,8/14/2022,SAB_TRANS_03,493875,46.009493,59.198733
Sample-19,8/14/2022,SAB_TRANS_03,493876,46.009493,59.198733
Sample-20,8/14/2022,SAB_TRANS_03,493877,46.009493,59.198733
Sample-21,8/14/2022,SAB_TRANS_04,493878,46.059583,59.164493
Sample-22,8/14/2022,SAB_TRANS_04,493879,46.059583,59.164493
Sample-23,8/14/2022,SAB_TRANS_04,493880,46.059583,59.164493
Sample-24,8/14/2022,SAB_TRANS_04,493881,46.059583,59.164493
Sample-25,8/14/2022,SAB_TRANS_04,493882,46.059583,59.164493
Sample-26,8/14/2022,SAB_TRANS_04,493883,46.059583,59.164493
Sample-27,8/14/2022,SAB_TRANS_05,493884,46.136212,59.114668
Sample-28,8/14/2022,SAB_TRANS_05,493885,46.136212,59.114668
Sample-29,8/14/2022,SAB_TRANS_05,493886,46.136212,59.114668
Sample-30,8/14/2022,SAB_TRANS_05,493887,46.136212,59.114668
Sample-31,8/14/2022,SAB_TRANS_05,493888,46.136212,59.114668
Sample-32,8/14/2022,SAB_TRANS_05,493889,46.136212,59.114668
Sample-33,8/14/2022,SAB_TRANS_06,493890,46.206397,59.064167
Sample-34,8/14/2022,SAB_TRANS_06,493891,46.206397,59.064167
Sample-35,8/14/2022,SAB_TRANS_06,493892,46.206397,59.064167
Sample-36,8/14/2022,SAB_TRANS_06,493893,46.206397,59.064167
Sample-37,8/14/2022,SAB_TRANS_06,493894,46.206397,59.064167
Sample-38,8/14/2022,SAB_TRANS_06,493895,46.206397,59.064167
Sample-39,8/16/2022,SAB_TRANS_09,493896,45.994038,59.2033
Sample-40,8/16/2022,SAB_TRANS_09,493897,45.994038,59.2033
Sample-41,8/16/2022,SAB_TRANS_09,493898,45.994038,59.2033
Sample-42,8/16/2022,SAB_TRANS_09,493899,45.994038,59.2033
Sample-43,8/16/2022,SAB_TRANS_09,493900,45.994038,59.2033
Sample-44,8/16/2022,SAB_TRANS_09,493901,45.994038,59.2033
Sample-45,8/16/2022,SAB_TRANS_09,493902,45.994038,59.2033
Sample-46,8/16/2022,SAB_TRANS_10,493903,46.004213,59.187348
Sample-47,8/16/2022,SAB_TRANS_10,493904,46.004213,59.187348
Sample-48,8/16/2022,SAB_TRANS_10,493905,46.004213,59.187348
Sample-49,8/16/2022,SAB_TRANS_10,493906,46.004213,59.187348
Sample-50,8/16/2022,SAB_TRANS_10,493907,46.004213,59.187348
Sample-51,8/16/2022,SAB_TRANS_10,493908,46.004213,59.187348
Sample-52,8/16/2022,SAB_TRANS_11,493909,46.039947,59.12182
Sample-53,8/16/2022,SAB_TRANS_11,493910,46.039947,59.12182
Sample-54,8/16/2022,SAB_TRANS_11,493911,46.039947,59.12182
Sample-55,8/16/2022,SAB_TRANS_11,493912,46.039947,59.12182
Sample-56,8/16/2022,SAB_TRANS_11,493913,46.039947,59.12182
Sample-57,8/16/2022,SAB_TRANS_11,493914,46.039947,59.12182
Sample-58,8/16/2022,SAB_TRANS_12,493915,46.089122,59.031503
Sample-59,8/16/2022,SAB_TRANS_12,493916,46.089122,59.031503
Sample-60,8/16/2022,SAB_TRANS_12,493917,46.089122,59.031503
Sample-61,8/16/2022,SAB_TRANS_12,493918,46.089122,59.031503
Sample-62,8/16/2022,SAB_TRANS_12,493919,46.089122,59.031503
Sample-63,8/16/2022,SAB_TRANS_12,493920,46.089122,59.031503
