"","materialSampleID","eventDate","samplingStation","waterSample","Latitude","Longitude","year","month","day","lat","lon","class","bank","distance_to_scatarie","distance_to_curdo"
"1","Sample-2",2022-08-14,"SAB_TRANS_01",493859,"45.989473","59.210587",2022,8,14,45.989473,-59.210587,"Till with coraline algae","Scatarie Bank",0,0
"2","Sample-9",2022-08-14,"SAB_TRANS_02",493866,"45.997298","59.206822",2022,8,14,45.997298,-59.206822,"Till with coraline algae","Scatarie Bank",0,0
"3","Sample-15",2022-08-14,"SAB_TRANS_03",493872,"46.009493","59.198733",2022,8,14,46.009493,-59.198733,"Till with coraline algae",NA,0,0
"4","Sample-21",2022-08-14,"SAB_TRANS_04",493878,"46.059583","59.164493",2022,8,14,46.059583,-59.164493,"Till >50% cobbles/gravel",NA,0,0
"5","Sample-27",2022-08-14,"SAB_TRANS_05",493884,"46.136212","59.114668",2022,8,14,46.136212,-59.114668,"Till >50% cobbles/gravel",NA,0,0
"6","Sample-33",2022-08-14,"SAB_TRANS_06",493890,"46.206397","59.064167",2022,8,14,46.206397,-59.064167,"Mud",NA,0,0
"7","Sample-39",2022-08-16,"SAB_TRANS_09",493896,"45.994038","59.2033",2022,8,16,45.994038,-59.2033,"Till with coraline algae","Scatarie Bank",0,0
"8","Sample-46",2022-08-16,"SAB_TRANS_10",493903,"46.004213","59.187348",2022,8,16,46.004213,-59.187348,"Till with coraline algae",NA,0,0
"9","Sample-52",2022-08-16,"SAB_TRANS_11",493909,"46.039947","59.12182",2022,8,16,46.039947,-59.12182,"Till >50% cobbles/gravel",NA,0,0
"10","Sample-58",2022-08-16,"SAB_TRANS_12",493915,"46.089122","59.031503",2022,8,16,46.089122,-59.031503,"Till >50% cobbles/gravel",NA,0,0
"11","Sample-64",2022-08-16,"SAB_TRANS_13",493921,"46.144643","58.939653",2022,8,16,46.144643,-58.939653,"Till >50% cobbles/gravel",NA,0,0
"12","Sample-70",2022-08-16,"SAB_TRANS_14",493927,"46.194957","58.852367",2022,8,16,46.194957,-58.852367,"Mud and seapens",NA,0,0
"13","Sample-75",2022-08-16,"SAB_TRANS_07",493934,"46.280412","59.007967",2022,8,16,46.280412,-59.007967,"Mud",NA,0,0
"14","2023SAB-01",2023-08-14,"SAB_05",413357,"45.84685","59.523712",2023,8,14,45.84685,-59.523712,"Gravelly sand/mud <50% cobbles/gravel",NA,0,0
"15","2023SAB-02",2023-08-14,"SAB_08",413365,"45.826033","59.416757",2023,8,14,45.826033,-59.416757,"Sand with Sand dollars",NA,0,0
"16","2023SAB-03",2023-08-15,"SAB_11",413375,"45.983238","59.23123",2023,8,15,45.983238,-59.23123,"Till with coraline algae","Scatarie Bank",0,0
"17","2023SAB-05",2023-08-15,"SAB_13",413381,"45.948022","59.484237",2023,8,15,45.948022,-59.484237,"Sand with Sand dollars",NA,0,0
"18","2023SAB-09",2023-08-16,"SAB_14",413386,"45.996327","59.206958",2023,8,16,45.996327,-59.206958,"Till with coraline algae","Scatarie Bank",0,0
"19","2023SAB-10",2023-08-16,"SAB_15",413388,"46.009818","59.19741",2023,8,16,46.009818,-59.19741,"Till with coraline algae",NA,0,0
"20","2023SAB-100",2023-08-18,"SAB_30",413446,"46.037533","59.341307",2023,8,18,46.037533,-59.341307,"Mud",NA,0,0
"21","2023SAB-101",2023-08-18,"SAB_31",413449,"46.043068","59.353867",2023,8,18,46.043068,-59.353867,"Mud",NA,0,0
"22","2023SAB-102",2023-08-21,"SAB_60",413450,"46.095728","59.635103",2023,8,21,46.095728,-59.635103,NA,NA,0,0
"23","2023SAB-107",2023-08-21,"SAB_61",413453,"46.126883","59.63169",2023,8,21,46.126883,-59.63169,NA,NA,0,0
"24","2023SAB-109",2023-08-21,"SAB_62",413456,"46.14038","59.582767",2023,8,21,46.14038,-59.582767,NA,NA,0,0
"25","2023SAB-112",2023-08-21,"SAB_63",413459,"45.992022","59.609228",2023,8,21,45.992022,-59.609228,"Till >50% cobbles/gravel",NA,0,0
"26","2023SAB-114",2023-08-23,"SAB_22REAL",413462,"45.988175","59.047015",2023,8,23,45.988175,-59.047015,"Mud",NA,0,0
